ID,Year,Program,Class,The class presents a good challenge for me.,The amount of time and energy I spend on this class is proportional to how much I learn.,I understand the purpose of what we do in this class: both in and outside the classroom.,I trust the teacher.,I feel I can approach the teacher when I need something.,I feel safe and comfortable in the class.,I feel comfortable speaking up in the class.,The teacher's expectations of my performance are clearly communicated.,"I know where to look for homework, and the learning materials shared by the teacher.",The information on my academic standing that I receive during the term provides me with sufficient information. ,The feedback on my work during the term allows me to improve.,The teacher is open to my feedback ,I want to learn as much as possible in this class.,I want to get the best mark/grade.,I just want to pass the class.,Class size,Respondents,Response rate (%),Comments
15,Year 1,4-year,MATH 1,10,10,10,10,10,7,7,10,10,10,10,10,10,10,8,16,14,88,
17,Year 2,4-year,MATH 2A,8,7,6,7,7,7,8,7,9,8,9,7,6,6,8,7,7,100,
19,Year 2,4-year,MATH 2A,7,8,10,8,10,10,9,9,10,8,9,9,10,10,0,7,7,100,Maybe provide us with more additional sources of learning than only worksheets. Maybe Khan Academy or something! So we have bigger diversity of learning rather than only classes and papers.
23,Year 2,4-year,MATH 2A,8,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,100,
31,Year 2,4-year,MATH 2A,8,8,9,7,9,8,9,8,9,9,8,8,10,8,2,7,7,100,-
32,Year 2,4-year,MATH 2A,7,8,8,8,8,9,9,8,9,9,8,8,8,10,6,7,7,100,
33,Year 2,4-year,MATH 2A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,7,7,100,
28,Year 2,3-year,MATH 2A,7,8,9,9,10,10,10,9,10,9,10,9,10,7,2,7,7,100,
21,Year 2,4-year,MATH 2B,7,8,8,5,4,5,5,7,8,8,8,7,9,9,1,9,7,78,
24,Year 2,4-year,MATH 2B,8,9,9,5,7,8,8,7,4,7,7,6,10,9,1,9,7,78,
26,Year 2,4-year,MATH 2B,10,9,7,7,7,7,7,8,9,8,8,8,7,1,9,9,7,78,
27,Year 2,4-year,MATH 2B,8,6,6,3,7,7,6,4,7,4,3,5,10,6,9,9,7,78,
30,Year 2,4-year,MATH 2B,7,5,6,3,5,5,6,2,4,6,4,5,6,7,7,9,7,78,"There's always confusion with homework, which doesn't happen in other subjects. Also there is problem in comunication, we came to class since teacher said she will be late, but she didn't come, we found out we're writing text at midnight the night before, because the communication was confusing."
35,Year 2,4-year,MATH 2B,6,5,6,3,4,2,2,7,6,7,8,6,9,8,0,9,7,78,
18,Year 2,3-year,MATH 2B,7,6,8,8,8,8,8,7,9,8,8,8,7,7,7,9,7,78,
1,Year 1,4-year,Math-CS 1A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,9,8,89,
2,Year 1,4-year,Math-CS 1A,9,9,8,10,9,8,8,7,6,7,6,8,7,7,7,9,8,89,
4,Year 1,4-year,Math-CS 1A,9,10,10,10,10,10,8,10,10,10,10,10,8,8,0,9,8,89,"I like our lessons there is always a lot of jokes, always very funny and I can use information that we learn in real life "
7,Year 1,4-year,Math-CS 1A,1,10,6,10,10,10,10,9,10,8,1,10,10,10,10,9,8,89,
8,Year 1,4-year,Math-CS 1A,10,10,10,10,10,10,10,10,10,6,6,10,7,7,5,9,8,89,I appreciate that you have studied at the university of Edinburgh.
10,Year 1,4-year,Math-CS 1A,7,8,10,10,10,10,10,10,10,10,10,10,8,8,3,9,8,89,
13,Year 1,4-year,Math-CS 1A,10,9,9,9,10,10,9,10,9,10,10,10,9,10,2,9,8,89,
14,Year 1,4-year,Math-CS 1A,7,10,10,10,10,10,10,8,10,9,5,10,6,7,10,9,8,89,
3,Year 1,4-year,Math-CS 1B,7,8,9,10,9,9,9,8,10,8,8,9,10,10,1,8,7,88,
5,Year 1,4-year,Math-CS 1B,2,2,9,10,10,10,10,10,10,8,8,10,7,7,9,8,7,88,"
"
6,Year 1,4-year,Math-CS 1B,7,7,10,10,10,10,9,10,10,8,7,9,10,8,2,8,7,88,
9,Year 1,4-year,Math-CS 1B,6,3,6,10,10,10,6,5,10,10,10,10,5,9,10,8,7,88,
11,Year 1,4-year,Math-CS 1B,8,8,9,9,9,10,10,8,9,8,10,9,8,8,9,8,7,88,
15,Year 1,4-year,Math-CS 1B,10,10,10,10,10,9,8,10,10,10,10,10,10,10,8,8,7,88,
16,Year 1,4-year,Math-CS 1B,10,10,10,10,10,10,10,9,9,9,9,10,10,10,0,8,7,88,
17,Year 2,4-year,Math-CS 2A,9,9,9,10,10,10,9,9,9,8,10,9,7,3,2,9,6,67,
19,Year 2,4-year,Math-CS 2A,9,6,7,10,10,9,9,8,10,9,8,10,5,5,10,9,6,67,
23,Year 2,4-year,Math-CS 2A,9,8,8,10,10,9,8,9,8,8,7,9,8,7,7,9,6,67,
31,Year 2,4-year,Math-CS 2A,9,7,8,10,9,9,9,10,10,7,7,9,10,6,2,9,6,67,-
32,Year 2,4-year,Math-CS 2A,9,8,8,10,10,10,10,9,10,10,9,9,8,7,5,9,6,67,
28,Year 2,3-year,Math-CS 2A,10,8,7,7,8,9,9,8,7,7,9,9,9,2,3,9,6,67,
21,Year 2,4-year,Math-CS 2B,9,8,8,10,10,9,8,9,8,8,8,9,9,8,3,9,6,67,
22,Year 2,4-year,Math-CS 2B,8,8,5,10,10,10,10,10,10,10,8,10,6,5,7,9,6,67,
24,Year 2,4-year,Math-CS 2B,8,9,8,10,10,9,9,8,8,8,7,10,10,8,0,9,6,67,
29,Year 2,4-year,Math-CS 2B,9,10,9,10,10,10,10,9,10,9,9,10,10,10,3,9,6,67,
35,Year 2,4-year,Math-CS 2B,10,10,9,10,10,10,10,9,9,9,10,8,10,10,0,9,6,67,
18,Year 2,3-year,Math-CS 2B,7,7,9,9,9,8,7,8,9,8,8,9,9,9,7,9,6,67,
46,Year 3,4-year,NL-CZ 3+4,3,7,7,10,10,10,9,9,10,10,10,10,8,10,4,6,3,50,:D
58,Year 3,4-year,NL-CZ 3+4,7,5,6,9,9,9,8,6,9,7,7,9,8,10,8,6,3,50,
102,Year 4,2-year,NL-CZ 3+4,8,8,8,8,8,8,8,8,8,8,8,8,9,8,3,6,3,50,
2,Year 1,4-year,NL-SK 1,6,6,3,8,7,9,9,5,8,4,6,8,7,10,3,13,11,85,
3,Year 1,4-year,NL-SK 1,3,8,9,10,10,9,9,9,10,8,9,10,9,8,3,13,11,85,I really appreciate that I feel that I can approach our teacher anytime with anything. 
6,Year 1,4-year,NL-SK 1,6,6,8,8,9,9,8,8,10,7,7,8,9,8,2,13,11,85,
7,Year 1,4-year,NL-SK 1,8,5,10,10,10,10,10,8,10,9,7,10,2,5,10,13,11,85,
8,Year 1,4-year,NL-SK 1,5,7,6,10,10,10,10,10,10,7,10,10,10,10,10,13,11,85,
9,Year 1,4-year,NL-SK 1,6,1,10,10,10,5,5,4,9,8,9,7,10,10,10,13,11,85,
10,Year 1,4-year,NL-SK 1,4,8,7,10,10,9,9,9,9,7,6,10,10,10,8,13,11,85,
11,Year 1,4-year,NL-SK 1,4,6,6,8,9,7,8,8,10,6,7,9,6,10,8,13,11,85,
12,Year 1,4-year,NL-SK 1,6,7,8,9,9,9,9,9,10,10,9,9,9,10,7,13,11,85,
14,Year 1,4-year,NL-SK 1,10,7,10,1,1,10,5,5,10,1,1,5,0,0,10,13,11,85,"Jes, jes very mač"
15,Year 1,4-year,NL-SK 1,6,5,9,10,10,10,10,9,10,9,10,10,10,10,8,13,11,85,
17,Year 2,4-year,NL-SK 2A,6,7,7,9,10,9,9,8,9,8,7,9,5,4,2,9,8,89,
19,Year 2,4-year,NL-SK 2A,7,8,5,9,10,10,6,10,10,9,9,10,5,5,9,9,8,89,
20,Year 2,4-year,NL-SK 2A,5,7,9,10,10,10,10,7,9,8,7,10,9,5,5,9,8,89,
23,Year 2,4-year,NL-SK 2A,6,6,7,9,10,10,10,9,9,7,7,9,7,6,7,9,8,89,
25,Year 2,4-year,NL-SK 2A,6,6,6,7,8,10,10,7,10,7,7,9,8,6,3,9,8,89,
32,Year 2,4-year,NL-SK 2A,7,7,8,9,9,10,10,8,9,9,10,9,8,9,5,9,8,89,
33,Year 2,4-year,NL-SK 2A,10,10,1,10,10,10,10,10,6,10,10,10,7,8,6,9,8,89,
28,Year 2,3-year,NL-SK 2A,8,7,7,9,10,10,10,8,9,9,9,9,9,1,6,9,8,89,
21,Year 2,4-year,NL-SK 2B,8,8,6,5,5,5,4,7,8,8,8,6,8,7,3,8,8,100,
22,Year 2,4-year,NL-SK 2B,2,9,5,10,10,10,10,9,10,7,7,10,8,8,0,8,8,100,
24,Year 2,4-year,NL-SK 2B,4,5,2,8,8,8,8,5,7,7,6,7,7,7,2,8,8,100,"I don't really understand how the things that we do during our classes are supposed to teach me anything, they're nice and the topics create great discussions, but I receive no theory which this subject is full of and i feel like i'm falling behind my classmates at Slovak schools"
26,Year 2,4-year,NL-SK 2B,6,7,8,10,10,10,9,8,8,7,8,10,8,6,5,8,8,100,
27,Year 2,4-year,NL-SK 2B,3,9,6,7,7,8,8,4,6,4,5,9,6,5,6,8,8,100,
29,Year 2,4-year,NL-SK 2B,8,9,7,8,7,9,10,7,9,9,9,8,8,10,5,8,8,100,
30,Year 2,4-year,NL-SK 2B,7,8,9,8,10,7,6,8,9,8,9,9,6,10,6,8,8,100,"I think we spend too much time dissecting the texts, what every sentence means, i dont think thats that necesarry, or more like, i feel im not learning that much from it, i would more talk about it freely or follow up with some interactive activites"
35,Year 2,4-year,NL-SK 2B,4,2,2,5,6,6,4,6,6,4,6,4,8,7,0,8,8,100,
59,Year 3,2-year,NL-SK 3A,6,9,7,10,10,10,10,8,9,8,8,9,7,10,10,16,13,81,
65,Year 3,2-year,NL-SK 3A,6,5,7,9,10,9,8,7,8,9,7,8,3,10,3,16,13,81,
71,Year 3,2-year,NL-SK 3A,8,8,7,9,10,9,8,10,10,10,9,9,10,10,0,16,13,81,
72,Year 3,2-year,NL-SK 3A,8,7,9,10,10,9,7,9,10,10,10,10,10,10,4,16,13,81,
36,Year 3,4-year,NL-SK 3A,6,8,8,9,10,10,10,7,8,8,8,10,9,8,8,16,13,81,
37,Year 3,4-year,NL-SK 3A,4,3,4,6,8,8,8,4,7,6,7,8,6,6,9,16,13,81,
38,Year 3,4-year,NL-SK 3A,8,6,4,6,5,5,5,6,5,7,7,6,0,0,10,16,13,81,
39,Year 3,4-year,NL-SK 3A,7,9,8,10,10,8,8,10,9,10,10,10,9,9,1,16,13,81,
45,Year 3,4-year,NL-SK 3A,7,5,6,8,8,8,7,9,9,9,9,7,4,5,5,16,13,81,
50,Year 3,4-year,NL-SK 3A,5,8,6,9,10,10,10,9,8,8,8,9,8,8,2,16,13,81,
54,Year 3,4-year,NL-SK 3A,8,8,8,9,9,10,10,8,9,9,9,9,8,8,6,16,13,81,
56,Year 3,4-year,NL-SK 3A,7,5,7,10,10,9,9,9,9,2,8,8,5,8,10,16,13,81,
57,Year 3,4-year,NL-SK 3A,8,10,7,10,9,10,10,10,10,8,10,8,6,4,0,16,13,81,
60,Year 3,2-year,NL-SK 3B,5,7,8,10,10,10,10,7,10,8,6,7,10,10,0,15,14,93,
61,Year 3,2-year,NL-SK 3B,8,10,10,10,5,9,10,7,10,9,10,10,10,10,10,15,14,93,
63,Year 3,2-year,NL-SK 3B,8,4,10,10,10,10,9,10,10,10,10,10,5,3,6,15,14,93,
73,Year 3,2-year,NL-SK 3B,6,8,6,10,8,10,10,9,10,8,7,7,9,9,8,15,14,93,I want to prepare for the Slovak Maturita exam
75,Year 3,2-year,NL-SK 3B,6,4,5,8,9,8,8,7,7,7,8,9,10,7,5,15,14,93,
77,Year 3,2-year,NL-SK 3B,5,5,8,8,8,6,5,7,8,7,8,9,8,7,2,15,14,93,
41,Year 3,4-year,NL-SK 3B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,15,14,93,I think that Viktor has a great approach and I really appreciate this class. I would appreciate more assigments but that might come as the year continues.
43,Year 3,4-year,NL-SK 3B,9,10,10,10,10,10,10,10,10,10,10,10,10,10,0,15,14,93,"fav teacher (not supposed to pick favs, but yeah). would trust you with my whole life. "
47,Year 3,4-year,NL-SK 3B,7,7,6,9,7,6,7,6,9,8,9,7,8,7,3,15,14,93,
48,Year 3,4-year,NL-SK 3B,5,8,6,8,9,9,3,7,10,8,7,9,7,6,9,15,14,93,
51,Year 3,4-year,NL-SK 3B,3,8,6,8,6,6,4,7,10,6,6,8,6,10,10,15,14,93,
52,Year 3,4-year,NL-SK 3B,8,10,10,10,10,10,10,10,10,10,10,10,8,8,2,15,14,93,
53,Year 3,4-year,NL-SK 3B,7,10,7,8,5,6,8,7,10,10,8,10,9,10,0,15,14,93,
55,Year 3,4-year,NL-SK 3B,8,7,9,10,10,10,8,9,8,9,10,10,7,8,5,15,14,93,
97,Year 4,2-year,NL-SK 4A,10,5,7,10,10,10,10,10,10,8,8,10,5,10,5,13,13,100,
103,Year 4,2-year,NL-SK 4A,3,1,3,7,10,8,10,7,10,7,4,10,6,10,10,13,13,100,
105,Year 4,2-year,NL-SK 4A,6,10,10,10,10,10,10,10,10,10,7,10,10,10,5,13,13,100,
109,Year 4,2-year,NL-SK 4A,6,6,7,9,10,10,10,7,10,8,7,10,10,10,0,13,13,100,
111,Year 4,2-year,NL-SK 4A,7,9,6,6,7,8,7,5,10,5,8,6,6,10,2,13,13,100,
82,Year 4,4-year,NL-SK 4A,4,9,3,7,8,8,10,5,10,4,3,7,10,5,10,13,13,100,
83,Year 4,4-year,NL-SK 4A,10,8,8,10,10,10,10,10,8,8,8,10,10,9,0,13,13,100,
86,Year 4,4-year,NL-SK 4A,1,1,3,2,1,1,1,1,9,5,1,1,10,10,0,13,13,100,
87,Year 4,4-year,NL-SK 4A,4,10,10,10,10,10,10,7,10,10,10,10,10,10,10,13,13,100,"Bolo by super mať viacej triednych aktivít ako čítanie so striedaním sa, prezentácie, diktáty, diskusie o sociálnych a lokálnych témach. Poprípade literárne diela potrebné na maturitu, môžeme si z nich čítať kratšie ukážky a sa o nich rozprávať :))"
88,Year 4,4-year,NL-SK 4A,5,8,6,6,9,9,7,7,7,5,7,8,7,4,9,13,13,100,
91,Year 4,4-year,NL-SK 4A,8,8,6,7,9,9,9,6,7,4,5,5,8,9,0,13,13,100,
93,Year 4,4-year,NL-SK 4A,10,10,10,10,10,10,10,5,10,7,9,10,10,10,2,13,13,100,
95,Year 4,4-year,NL-SK 4A,3,9,4,7,5,5,4,7,9,4,8,9,4,10,3,13,13,100,
96,Year 4,2-year,NL-SK 4B,5,10,8,8,10,10,10,7,10,6,10,8,6,6,8,15,14,93,
99,Year 4,2-year,NL-SK 4B,8,9,5,6,10,10,10,8,10,8,9,10,6,6,10,15,14,93,
104,Year 4,2-year,NL-SK 4B,3,2,1,5,6,9,9,3,9,5,4,7,5,10,1,15,14,93,
106,Year 4,2-year,NL-SK 4B,5,5,10,9,8,6,8,8,10,10,7,10,3,0,10,15,14,93,"hodiny sú pomerne oddychové, tak by to s non-AP predmetmi malo byť, takže som spokojná"
108,Year 4,2-year,NL-SK 4B,5,10,5,5,10,10,10,6,10,5,4,8,5,10,0,15,14,93,
110,Year 4,2-year,NL-SK 4B,6,4,4,6,9,8,8,4,9,3,5,7,7,9,5,15,14,93,
112,Year 4,2-year,NL-SK 4B,3,10,8,8,9,8,8,6,9,3,2,2,2,4,9,15,14,93,
114,Year 4,2-year,NL-SK 4B,6,9,5,10,10,10,10,9,9,7,7,9,5,10,3,15,14,93,
78,Year 4,4-year,NL-SK 4B,9,5,5,9,7,4,3,6,6,4,6,8,9,10,2,15,14,93,
79,Year 4,4-year,NL-SK 4B,7,7,7,8,10,8,6,8,10,4,3,9,6,10,0,15,14,93,
80,Year 4,4-year,NL-SK 4B,2,2,2,2,2,7,6,1,4,3,3,5,6,5,7,15,14,93,
85,Year 4,4-year,NL-SK 4B,4,9,7,8,9,8,9,7,8,7,7,9,5,8,10,15,14,93,
89,Year 4,4-year,NL-SK 4B,7,9,10,10,10,9,7,9,10,10,10,10,10,10,0,15,14,93,"It is an interesting take on the class this year, I can safely say that I look forward to it every time."
91,Year 4,4-year,NL-SK 4B,8,9,7,10,10,10,10,9,10,8,9,10,9,10,1,15,14,93,
20,Year 2,4-year,Pre-CALC,10,8,8,10,9,10,8,10,10,9,7,10,8,6,6,9,9,100,
25,Year 2,4-year,Pre-CALC,9,10,9,10,10,8,8,9,10,9,9,9,10,8,3,9,9,100,
66,Year 3,2-year,Pre-CALC,7,7,9,10,10,10,7,8,10,8,8,9,4,2,5,9,9,100,
70,Year 3,2-year,Pre-CALC,8,8,8,10,10,10,10,10,10,10,10,10,8,10,4,9,9,100,
72,Year 3,2-year,Pre-CALC,8,9,10,9,10,9,7,9,10,9,8,9,10,10,1,9,9,100,
75,Year 3,2-year,Pre-CALC,7,8,7,9,10,10,9,8,10,8,8,10,10,10,0,9,9,100,
47,Year 3,4-year,Pre-CALC,10,7,9,10,10,10,9,10,10,8,9,10,8,2,3,9,9,100,"Peťo is an amazing teacher, who communicates well with his students. There's not much to improve on his side. It's just the nature of the course and the ratio of material covered compared to the amount of class-time that hinders this class just a little bit."
100,Year 4,2-year,Pre-CALC,6,10,10,10,10,9,8,10,10,9,9,10,9,8,3,9,9,100,
107,Year 4,2-year,Pre-CALC,8,10,10,10,10,9,9,10,10,10,10,10,10,10,0,9,9,100,
2,Year 1,4-year,SCIE 1,9,9,6,7,7,5,5,5,6,6,5,8,6,5,8,16,14,88,
3,Year 1,4-year,SCIE 1,9,9,8,8,7,8,7,7,8,8,8,10,10,9,2,16,14,88,
4,Year 1,4-year,SCIE 1,10,7,10,8,6,7,9,6,10,6,10,10,9,7,0,16,14,88,"I don't like these classes, I don't feel comfortable and the teacher not explaining clearly enough "
5,Year 1,4-year,SCIE 1,3,6,9,8,9,7,7,5,10,3,4,8,10,10,3,16,14,88,
6,Year 1,4-year,SCIE 1,9,8,7,6,9,7,7,7,8,8,8,8,9,9,2,16,14,88,
7,Year 1,4-year,SCIE 1,5,7,10,10,10,10,10,3,10,5,5,10,6,5,8,16,14,88,
8,Year 1,4-year,SCIE 1,10,3,1,8,10,1,3,2,6,1,1,5,5,9,10,16,14,88,
9,Year 1,4-year,SCIE 1,10,8,5,5,6,3,1,7,9,8,10,9,5,8,10,16,14,88,
10,Year 1,4-year,SCIE 1,10,10,4,10,9,7,7,10,8,10,8,10,5,5,10,16,14,88,
11,Year 1,4-year,SCIE 1,10,6,6,7,8,5,7,6,10,7,9,9,5,6,9,16,14,88,
13,Year 1,4-year,SCIE 1,10,9,8,10,9,8,10,10,8,10,10,10,10,10,1,16,14,88,
14,Year 1,4-year,SCIE 1,1,1,10,5,6,8,10,10,10,10,5,9,10,10,10,16,14,88,
15,Year 1,4-year,SCIE 1,10,9,8,10,10,7,7,10,10,10,10,10,10,10,8,16,14,88,
16,Year 1,4-year,SCIE 1,10,7,8,10,10,10,10,8,9,7,7,10,10,10,8,16,14,88,
17,Year 2,4-year,SCIE 2A,8,7,7,9,8,7,8,9,10,7,8,8,5,3,2,9,8,89,
19,Year 2,4-year,SCIE 2A,10,9,8,8,8,7,7,10,9,10,7,8,10,9,2,9,8,89,Maybe a bit more easily explained presentations! they are very hard to understand but on internet its much essier to find explanations
20,Year 2,4-year,SCIE 2A,8,9,7,7,8,10,10,10,9,10,9,10,8,5,5,9,8,89,
23,Year 2,4-year,SCIE 2A,10,8,9,7,6,7,7,9,9,8,7,8,8,7,6,9,8,89,
25,Year 2,4-year,SCIE 2A,10,10,10,4,4,7,8,9,7,8,8,6,9,10,2,9,8,89,
32,Year 2,4-year,SCIE 2A,9,9,9,10,10,10,10,9,10,10,10,9,9,9,6,9,8,89,
33,Year 2,4-year,SCIE 2A,8,9,10,6,5,6,7,9,7,10,10,7,8,10,7,9,8,89,
28,Year 2,3-year,SCIE 2A,10,9,8,7,7,8,8,9,10,8,9,9,10,8,5,9,8,89,
21,Year 2,4-year,SCIE 2B,9,8,9,8,8,7,7,8,9,9,9,9,9,8,2,9,9,100,
22,Year 2,4-year,SCIE 2B,9,9,10,9,10,9,8,10,10,10,10,10,10,8,3,9,9,100,
24,Year 2,4-year,SCIE 2B,6,8,10,10,10,10,9,8,9,9,10,9,10,10,0,9,9,100,
26,Year 2,4-year,SCIE 2B,7,9,8,10,10,10,8,9,10,9,10,9,9,7,6,9,9,100,
27,Year 2,4-year,SCIE 2B,5,8,10,9,9,9,7,8,10,9,7,9,10,9,2,9,9,100,
29,Year 2,4-year,SCIE 2B,8,9,8,10,10,8,9,10,8,9,8,10,9,10,3,9,9,100,
30,Year 2,4-year,SCIE 2B,8,9,10,10,10,7,6,9,10,8,9,10,10,10,3,9,9,100,"I reallt like the class topics, i feel like i learn a lot but at the same time dont have to do any super hard and long homework. "
35,Year 2,4-year,SCIE 2B,5,7,9,10,10,10,10,9,10,9,10,8,9,8,0,9,9,100,
18,Year 2,3-year,SCIE 2B,7,7,7,9,9,6,5,7,8,8,7,9,7,6,9,9,9,100,
1,Year 1,4-year,SK as FL 1-3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,0,11,11,100,
4,Year 1,4-year,SK as FL 1-3,4,10,10,10,10,8,9,10,10,10,10,10,10,10,0,11,11,100,"I very like this class, the book is good and interesting to learn  and Darinka explaining very good, I can use information in real life "
5,Year 1,4-year,SK as FL 1-3,7,9,10,10,10,10,10,8,10,9,9,10,10,8,7,11,11,100,
18,Year 2,3-year,SK as FL 1-3,7,6,8,10,10,7,4,8,9,8,4,8,8,8,5,11,11,100,
18,Year 2,3-year,SK as FL 1-3,7,6,7,9,9,8,6,8,9,8,6,8,7,7,6,11,11,100,
62,Year 3,2-year,SK as FL 1-3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,100,
68,Year 3,2-year,SK as FL 1-3,9,8,10,9,9,10,9,7,9,10,10,10,9,7,10,11,11,100,
69,Year 3,2-year,SK as FL 1-3,9,10,10,10,10,10,9,9,10,10,10,10,10,10,0,11,11,100,"I just want to say thank you to Darinka for the positive mood all the time in the class, compassion, understanding and just great lessons"
70,Year 3,2-year,SK as FL 1-3,5,9,9,10,10,10,10,10,10,10,10,10,9,10,10,11,11,100,
76,Year 3,2-year,SK as FL 1-3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,11,11,100,
42,Year 3,4-year,SK as FL 1-3,7,7,10,10,10,10,10,10,10,10,10,10,10,10,0,11,11,100,
98,Year 4,2-year,SK as FL 4,6,10,8,10,10,10,10,10,10,10,10,10,5,7,2,6,6,100,
100,Year 4,2-year,SK as FL 4,6,10,9,7,7,9,5,8,8,9,9,8,10,10,5,6,6,100,
101,Year 4,2-year,SK as FL 4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,100,
115,Year 4,2-year,SK as FL 4,10,10,10,10,10,7,6,10,10,10,10,10,9,10,2,6,6,100,Darinka is great teacher and she has a great way of teaching the basic needs - only prob is mixing of people who can obviously talk or understand a lot of Slovak with people who are struggling more
81,Year 4,4-year,SK as FL 4,6,9,8,8,10,10,10,7,7,9,7,8,7,10,5,6,6,100,
94,Year 4,4-year,SK as FL 4,9,10,10,10,10,10,10,10,10,10,10,10,10,9,0,6,6,100,
